htid,author,title,year,authgender,female_category,england_as_such_intensity
uiuo.ark:/13960/t46q2g33b,"Kennard, Edward,",A crack county,1888,f,,4.400827355542842
uc2.ark:/13960/t59c6v49h,"Adams, Arthur Henry,",A touch of fantasy,1912,m,,4.400246413799173
uc1.b4974533,"McGinley, Patrick,",The trick of the Ga Bolga / | $c: Patrick McGinley.,1985,m,high_male,4.400052800633608
mdp.39015066054308,"Lawrence, D. H. (David Herbert),",Works.,1954,m,high_male,4.397634072868796
mdp.39015004078450,"Van der Post, Laurens.",The seed and the sower; | stories.,1963,m,high_male,4.3966673261667655
inu.30000055651669,"Nkhana, Miriam.",The money road / | $c: Miriam Nkhana.,1996,f,,4.3953145946421115
uc1.32106011414221,"Simenon, Georges,",Maigret goes home; | $c: translated [from the French] by Robert Baldick,1967,m,high_male,4.395121415229096
mdp.39015025194179,"Ellis, Alice Thomas.",Pillars of gold / | $c: Alice Thomas Ellis.,1992,f,high_female,4.390072582533365
nyp.33433040405833,"Balzac, Honoré de,",The atheist's mass and other stories =,1896,f,high_male,4.389969797007796
mdp.39015030734407,"Coppard, A. E. (Alfred Edgar),","Ninepenny flute; | twenty-one tales, | $c: by A. E. Coppard.",1937,m,mixed,4.389671103892541
uiuo.ark:/13960/t4gm8jw36,"Dickens, Mary Angela.",Cross currents,1891,f,high_female,4.3896229313901935
mdp.39015062609188,"Rushdie, Salman.",Shalimar the clown : | a novel / | $c: Salman Rushdie.,2005,m,,4.385460007345645
uc1.32106012493554,"Alexander, L. A",Intimate cartographies : | a three-dimensional novel,2000,u,high_female,4.385157120179616
mdp.39015078783464,"Griffiths, Elly.",The crossing places / | $c: Elly Griffiths.,2009,f,high_female,4.385003288752467
uc1.b4070091,"Busch, Marie.","Selected Austrian short stories, | $c: translated by Marie Busch ...",1929,f,mixed,4.384138188035687
uc1.$b245245,"Thompson, Sylvia,",Winter comedy / | $c: by Sylvia Thompson.,1931,f,high_female,4.382312984793374
mdp.39015060560482,"Mattson, Ellen,",Snow / | $c: Ellen Matson ; translated by Sarah Death.,2005,f,high_male,4.381352961794602
njp.32101068166618,"Cunningham, Allan,",Lord Roldan;,1836,m,,4.381304971685816
mdp.39015002713603,"Renault, Mary.",Return to night.,1947,f,high_female,4.380174080632748
mdp.49015000998790,"London, Jack,","Love of life, | and other stories | $c: by Jack London. Introduction by George Orwell.",1946,m,high_male,4.379242391066345
uiuo.ark:/13960/t76t15n95,"Salter, Peter King.",Whitepatch,1887,m,high_female,4.377900358987829
mdp.39015064414876,"Yonge, Charlotte M.","Magnum bonum, or Mother Carey's brood",1879,f,,4.376223975143048
uiuo.ark:/13960/t6tx3pv95,"Fenn, George Manville,",By birth a lady,1871,m,,4.37598459653422
uc1.b3327539,"Normanby, Constantine Henry Phipps,",Yes and no,1828,m,mixed,4.375505917871754
uc2.ark:/13960/t8gf0qs0t,"Dorling, H. Taprell",The sub ;,1917,u,high_male,4.374692404440313
uiuo.ark:/13960/t0vq3b84k,"Greville, Violet,",Creatures of clay,1885,f,high_female,4.370374686789814
njp.32101065768523,"Southey, Caroline Bowles,",Chapters on churchyards,1829,f,mixed,4.369356248179435
uc1.b3123790,"Kavanagh, Julia,",Grace Lee,1855,f,,4.364906154517678
mdp.39015034289002,"Ballard, J. G.,",Rushing to paradise / | $c: J.G. Ballard.,1994,m,,4.364477517485188
mdp.39015014862265,"Vansittart, Peter.",The story of teller: | a novel.,1968,m,,4.363541159101983
uc2.ark:/13960/t6qz27q91,"Andreyev, Leonid,",Judas Iscariot,1910,m,high_male,4.362906568355839
inu.30000107499703,,London noir : | capital crime fiction / | $c: edited by Cathi Unsworth.,2006,u,,4.360385894151633
inu.30000029787151,,A fabulous formless darkness / | $c: edited by David G. Hartwell.,1992,u,mixed,4.359940863347562
mdp.39015034861701,"Bowen, John,",No retreat / | $c: John Bowen.,1994,m,,4.35986310029865
mdp.39015021919876,"Hartley, L. P. (Leslie Poles),",Facial justice.,1960,m,high_female,4.359482965320313
mdp.39015045663039,"Sampson, Kevin.",Powder : | an everyday story of rock 'n' roll folk / | $c: Kevin Sampson.,1999,m,,4.35929292268794
hvd.hwadc3,"Scott, Walter,",The Waverley novels,1829,m,,4.358096035004228
mdp.39015080845434,"Duffy, Maureen.",The Orpheus trail / | $c: Maureen Duffy.,2009,f,,4.356681515689499
