htid,author,title,year,authgender,female_category,vertical
mdp.39015034653686,"Powell, Anthony,","Books do furnish a room, | a novel.",1971,m,,259.02340259475847
mdp.39015056878278,"Forster, Margaret,",Diary of an ordinary woman / | $c: Margaret Forster.,2003,f,high_female,259.02290803026364
mdp.39015078545020,,The little Robinson and other tales,1886,u,,259.01258061105824
nyp.33433074951991,"Dalby, Walter.",The ivory raiders,1906,m,high_male,258.96367445911903
mdp.39015002265059,"Waugh, Evelyn,",Helena / | $c: Evelyn Waugh.,1963,m,high_female,258.96253135874406
mdp.39015007058111,"Pym, Barbara.",Excellent women / | $c: Barbara Pym.,1977,f,high_female,258.9395807644883
uiuo.ark:/13960/t7rn3tq31,"Yates, Edmund Hodgson,",The rock ahead,1868,m,mixed,258.93574132647205
njp.32101068169430,"Fullerton, Georgiana,",Grantley Manor,1847,f,high_female,258.9267070369597
uc1.$b176933,"Ravignant, Patrick,",An edge on darkness; | a novel. | $c: Translated by Arlette Ryvers.,1965,m,high_female,258.9188655005435
uiuo.ark:/13960/t3st87v62,"Wallace, Ellen.",Constance D'Oyley,1844,f,high_female,258.9161986725986
uiuo.ark:/13960/t5fb5r230,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,,258.9153614611499
inu.32000001298621,"Lytton, Edward Bulwer Lytton,",A strange story,1862,m,,258.9085512413092
mdp.39015012192558,"Farah, Nuruddin,",Sweet and sour milk / | $c: Nuruddin Farah.,1980,m,high_female,258.83630300327667
uc1.32106016470418,"Enquist, Per Olov,",The visit of the royal physician / | $c: Per Olov Enquist ; translated from the Swedish by Tiina Nunnally.,2002,m,high_male,258.82209889088654
njp.32101068166048,"Chatterton, Georgiana,","Aunt Dorothy's tale, or, Geraldine Morton",1837,f,high_female,258.8154097126365
uiuo.ark:/13960/t09w0rt4b,"Corkran, John Frazer,","East and West, or, Once upon a time",1861,m,,258.80639112309575
uiuo.ark:/13960/t7fr07m66,"Donelan, A. M.","Flora Adair, or, Love works wonders",1867,u,high_female,258.7991718426501
njp.32101007865775,"Bennett, Arnold,",Tales of the five towns,1905,m,mixed,258.7904949499183
uiuo.ark:/13960/t76t0zs2q,"Collins, Mortimer,",Sweet Anne Page,1868,m,mixed,258.7893706999937
uc1.b3322325,"Hamley, W. G.",Captain Clutterbuck's champagne,1862,u,,258.7494119331547
njp.32101067173078,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,,258.74729014662347
uiuo.ark:/13960/t2794p86w,"Tytler, Sarah,","Oliver Constable, miller and baker",1880,f,mixed,258.73913741724806
uiuo.ark:/13960/t9474p24j,"Byron, Henry J.",Paid in full,1865,m,mixed,258.7362448954145
mdp.39015014117728,"Porter, Anna Maria,",The village of Mariendorpt,1821,f,,258.72112946336784
uc1.b3751224,"Dutourd, Jean,",A dog's head; | $c: translated from the French by Robin Chancellor.,1951,f,,258.68440502586844
uiuo.ark:/13960/t7tm7h66t,"Carrington, Edmund Frederick John.",Confessions of an old maid,1828,m,high_female,258.66276232308445
mdp.39015058094593,"De Falbe, John,",The bequest / | $c: John De Falbe.,2003,m,,258.6488064988357
mdp.39015046802099,"Mofolo, Thomas,","Chaka, | an historical romance, | $c: by Thomas Mofolo, with an introduction by Sir Henry Newbolt ... translated from the original Sesuto by F. H. Dutton.",1931,m,high_male,258.62535882575963
uiuo.ark:/13960/t0xp79q0v,"Clarke, Charles.",Charlie Thornhill;,1863,m,,258.61313228719206
uc1.b3469109,"Tarsis, Valeriĭ.",The pleasure factory,1967,u,mixed,258.6007256259167
uc1.b4104570,"Simpkinson, John Nassau,",The Washingtons,1860,m,mixed,258.5417219563561
njp.32101072041773,"Neil, Ross,","Abbot's Cleve, or, Can it be proved?",1864,f,high_female,258.5416447457423
nyp.33433074865274,"Jolly, Emily.",Bond and free,1860,f,mixed,258.5391487125591
uiuo.ark:/13960/t9086vr6d,"McCarthy, Justin.",Red diamonds,1893,m,,258.51015427886006
