htid,author,title,year,authgender,female_category,gb_subcity_intensity
njp.32101066458801,"Elwes, Alfred,",Perils afloat and brigands ashore,1886,m,high_male,2.1218358123448406
uiuo.ark:/13960/t1jh43q68,"Merrywhistle, Marmaduke.",Isn't it odd?,1822,m,,2.1211606991345664
hvd.hntfbl,"Sterne, Laurence,","The life and opinions of Tristram Shandy, gentleman",1832,m,,2.121145701498236
mdp.39015084104812,"Stross, Charles.",Wireless / | $c: Charles Stross.,2009,m,,2.1211157068618096
uc1.$b800413,"Benedictus, David.","Hump, or, | $c: Bone by bone alive.",1967,m,,2.1190930281839373
mdp.39015018943913,"Treherne, John.",The walk to Acorn Bridge.,1989,m,high_female,2.1185991822207155
uc1.32106007116103,"Olujić, Grozdana.",Wild seed / | $c: Grozdana Olujić ; translated by Gertrud Graubart-Champe.,1974,u,high_female,2.1183747828665846
uiuo.ark:/13960/t20c5g68c,"Helps, Arthur,",Ivan de Biron;,1874,m,,2.117029384367855
mdp.39015064466173,"Borrow, George Henry,",The Romany rye;,1858,m,mixed,2.114835571534313
mdp.39015008451562,"Thomas, Dylan,","A prospect of the sea, | and other stories and prose writings. | $c: Edited by Daniel Jones.",1955,m,mixed,2.114611968703743
uc1.b4391100,,Stories from central & southern Africa / | $c: edited and introduced by Paul A. Scanlon.,1983,u,,2.1142766531000583
mdp.39015021039980,"Maturin, Charles Robert,",Melmoth the wanderer,1892,m,high_female,2.113159702044482
mdp.39015064708145,"Ali, Monica,",Alentejo Blue / | $c: Monica Ali.,2006,f,,2.112869488051723
mdp.39015012334887,"Miller, Joaquin,",The one fair woman,1876,m,,2.11263514262928
uc1.b3752270,"Simenon, Georges,",The train. | $c: Translated from the French by Robert Baldick.,1964,m,high_female,2.112155454641462
mdp.39015062863595,"Kertész, Imre,",Fatelessness / | $c: Imre Kertész ; translated from the Hungarian by Tim Wilkinson.,2005,m,,2.1118655164039155
nyp.33433075727549,"Forster, Francis.",Major Joshua;,1894,u,high_female,2.111196731867459
uc2.ark:/13960/t90865m6b,"Esmond, Henry.",A life's hazard,1878,m,mixed,2.110461557942722
uc1.$b243834,"Niall, Ian.","No resting place, | $c: by Ian Niall [pseud.]",1948,u,,2.110417018402837
njp.32101067644045,"Ferrier, Susan,",The novels of Susan Edmonstone Ferrier,1894,f,high_female,2.110327944962647
uc2.ark:/13960/t1dj5bx7t,"O'Kelly, Seumas,",The golden barque and The weaver's grave,1919,u,,2.1093486331420856
