htid,author,title,year,authgender,female_category,urban_generics
uc2.ark:/13960/t4vh5g41s,"La Motte-Fouqué, Friedrich Heinrich Karl,",Sintram and his companions,1901,m,,16.473689165019298
njp.32101067640910,,Things by their right names;,1814,u,high_female,16.46133319471158
uiuo.ark:/13960/t4vh5x78w,"Frances, Sophia L.","Vivonio, or, The hour of retribution",1806,f,,16.43351615620057
nyp.33433074859418,"Greenwood, James.",The bear king,1868,m,high_female,16.430703507955197
mdp.39015059376023,,The New British novelist;,1830,u,high_male,16.41574034988978
inu.30000118529688,"Elliot, Geraldine.","The singing chameleon; | a book of African stories based on local custom, proverbs and folk-lore. | $c: Illus. by Sheila Hawkins.",1957,f,,16.398050974512742
uiuo.ark:/13960/t20c59g5f,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,16.39702667249672
uiuo.ark:/13960/t18k7ps90,"Grant, Louisa Keir.",Charles Stanley,1854,f,high_female,16.390083999180497
uc2.ark:/13960/t3222x37k,"Payn, James,","A modern Dick Whittington; or, A patron of letters",1893,m,mixed,16.337962422686427
uc2.ark:/13960/t89g5j479,"Fenn, George Manville,",The golden magnet,1884,m,high_male,16.294003066235124
inu.32000002550533,"Trollope, Frances Milton,",The young countess,1848,f,high_female,16.26136447631015
