htid,author,title,year,authgender,female_category,female_fraction
uiuo.ark:/13960/t6b28fq5g,"Oliphant,",The wizard's son,1884,f,mixed,0.3638101616313947
uiuo.ark:/13960/t07w6zr52,"Oliphant,",The wizard's son,1884,f,mixed,0.3638101616313947
nyp.33433067303838,"Colman, George,",The history of Elsmere and Rosa;,1817,m,mixed,0.3638052980986166
nyp.33433067303820,"Colman, George,",The history of Elsmere and Rosa;,1817,m,mixed,0.3638052980986166
uc1.b3332915,"Burnand, F. C.","My time, and what I've done with it",1874,u,mixed,0.3637118464831962
njp.32101072752494,"Meredith, George,",Rhoda Fleming,1889,m,mixed,0.3636982270663733
uc1.$b245013,"Mackenzie, Compton, Sir,",Fairy gold : | [a novel] / | $c: by Compton MacKenzie.,1961,m,mixed,0.3636559371468824
nyp.33433074797675,"Fleming, George,",Little stories about women,1897,f,mixed,0.3636439752624238
mdp.39015056165155,"Parsons, Tony,",Man and wife / | $c: Tony Parsons.,2002,m,mixed,0.3636363636363636
mdp.39015016868351,"Saurat, Denis,",Death and the dreamer / | $f: with drawings by Edward Bawden.,1946,m,mixed,0.3636363636363636
mdp.39015054174043,"Ambler, Eric,",The night-comers.,1956,m,mixed,0.3635869305465087
uc1.$b243519,"Yates, Dornford,",Berry and Co. / | $c: Dornford Yates.,1956,u,mixed,0.3635292861359547
uiuo.ark:/13960/t7cr6539r,"Craik, Dinah Maria Mulock,",Avillion and other tales,1853,f,mixed,0.363510311177306
uiuo.ark:/13960/t7tm7j953,"Craik, Dinah Maria Mulock,",Avillion and other tales,1853,f,mixed,0.363510311177306
uc1.$b794343,"Bullett, Gerald William,",Ten-minute tales : | and some others / | $c: Gerald Bullett ; foreword by Storm Jameson.,1959,m,mixed,0.3635079458505003
mdp.49015002777382,"Jetmundsen, Norman.",The Soulbane stratagem : | diabolical subterfuge that threatens to destroy us / | $c: [Norman Jetmundsen].,2000,m,mixed,0.3635057182941405
mdp.39015038149145,"Tert͡s, Abram,",The Icicle and other stories. | $c: Translated by Max Howard and Ronald Hingley.,1963,m,mixed,0.3634538152610442
inu.30000026319966,"Wilson, Christopher P.",Fou / | $c: Chris Wilson.,1992,m,mixed,0.3634105960264901
njp.32101067647634,"James, G. P. R.",My Aunt Pontypool,1835,m,mixed,0.3633807301509165
njp.32101067647642,"James, G. P. R.",My Aunt Pontypool,1835,m,mixed,0.3633807301509165
njp.32101067647659,"James, G. P. R.",My Aunt Pontypool,1835,m,mixed,0.3633807301509165
uc1.32106012237076,"Hawes, James",A white Merc with fins / | $c: James Hawes,1996,m,mixed,0.3633440514469453
njp.32101068177995,"Hervey, Elizabeth",Amabel;,1814,f,mixed,0.3633362909084853
njp.32101068177987,"Hervey, Elizabeth",Amabel;,1814,f,mixed,0.3633362909084853
njp.32101068178019,"Hervey, Elizabeth",Amabel;,1814,f,mixed,0.3633362909084853
njp.32101068178001,"Hervey, Elizabeth",Amabel;,1814,f,mixed,0.3633362909084853
uc1.32106010068143,"Miller, David,",True points : | eight prose texts 1981-1987 / | $c: David Miller.,1992,m,mixed,0.363265306122449
uc1.32106014066408,"Pennac, Daniel",The fairy gunmother / | $c: Daniel Pennac ; translated from the French by Ian Monk,1998,m,mixed,0.3632335369359591
uc1.$b137254,"Bojer, Johan,","Folk by the sea | $c: [by] Johan Bojer, translated from the Norwegian by Arna Heni, Louise Rourke and C. Archer.",1931,m,mixed,0.3631780907740591
